prep_time,queue_length,hour,day_of_week,is_peak,is_weekend,actual_wait
10,12,7,3,0,0,27.59280458083112
19,12,7,3,0,0,42.59969410989701
28,12,7,3,0,0,51.709969985537434
12,12,7,3,0,0,32.261164029637136
13,12,7,3,0,0,32.88556738824332
12,12,7,3,0,0,34.172101420439084
17,12,7,3,0,0,40.78992460371703
13,12,7,3,0,0,32.18420728625305
7,12,7,3,0,0,27.60204690394142
14,12,7,3,0,0,33.207359801493816
13,12,7,3,0,0,38.437860477257544
9,12,7,3,0,0,31.826487309071492
12,7,8,3,0,0,25.513426982019016
13,7,8,3,0,0,27.7710810977116
8,7,8,3,0,0,20.84961394258319
9,7,8,3,0,0,20.595233518443674
7,7,8,3,0,0,18.344413156128414
10,7,8,3,0,0,25.755669410619916
16,7,8,3,0,0,29.36696953926111
12,4,9,3,0,0,16.76533575945993
15,4,9,3,0,0,21.65577947529406
11,4,9,3,0,0,20.383576518295538
13,4,9,3,0,0,21.795250054601155
14,4,10,3,0,0,21.998975872355448
26,4,10,3,0,0,35.512100404748324
12,4,10,3,0,0,18.941435294407363
17,4,10,3,0,0,28.779951566967227
6,24,11,3,1,0,41.52921385514956
12,24,11,3,1,0,46.45448501656883
19,24,11,3,1,0,53.838453687709844
18,24,11,3,1,0,51.68177739578738
13,24,11,3,1,0,45.63829948877565
18,24,11,3,1,0,49.9173786644736
15,24,11,3,1,0,49.46148381810354
18,24,11,3,1,0,52.27536172327623
12,24,11,3,1,0,49.95528435541721
15,24,11,3,1,0,46.95910043258945
10,24,11,3,1,0,42.42574985685951
13,24,11,3,1,0,45.870271814387536
11,24,11,3,1,0,42.942509894830756
19,24,11,3,1,0,51.54860072289687
20,24,11,3,1,0,55.24375937299496
21,24,11,3,1,0,55.96108892356038
11,24,11,3,1,0,43.88030633035662
8,24,11,3,1,0,39.818716232991655
11,24,11,3,1,0,42.660002448387935
14,24,11,3,1,0,46.35680299454119
17,24,11,3,1,0,49.32776314170905
14,24,11,3,1,0,47.437652140336226
18,24,11,3,1,0,50.153415614857614
20,24,11,3,1,0,56.16162740423056
17,19,12,3,1,0,47.70026725007662
19,19,12,3,1,0,51.71395658616447
11,19,12,3,1,0,43.64595780121119
14,19,12,3,1,0,46.20456256751972
17,19,12,3,1,0,49.964423175373135
12,19,12,3,1,0,44.96044656490451
16,19,12,3,1,0,50.0542514313011
16,19,12,3,1,0,44.68561799511388
11,19,12,3,1,0,43.5864654737907
11,19,12,3,1,0,46.99764332382269
18,19,12,3,1,0,50.75898832873661
8,19,12,3,1,0,42.48038366355005
15,19,12,3,1,0,49.494374348210464
12,19,12,3,1,0,43.08092516890921
10,19,12,3,1,0,41.99733433039716
12,19,12,3,1,0,45.254903362998135
16,19,12,3,1,0,48.307819072239475
6,19,12,3,1,0,38.75556536813076
15,19,12,3,1,0,47.83755971677606
13,21,13,3,1,0,42.84679571952309
18,21,13,3,1,0,49.55432503388335
14,21,13,3,1,0,44.22539212455002
17,21,13,3,1,0,50.5774436714564
15,21,13,3,1,0,48.35941493341721
16,21,13,3,1,0,50.37637127431716
21,21,13,3,1,0,54.50883887909001
15,21,13,3,1,0,47.697105668216636
21,21,13,3,1,0,55.50670082779699
14,21,13,3,1,0,48.80168708197185
21,21,13,3,1,0,51.408220741054535
12,21,13,3,1,0,46.15219674230456
15,21,13,3,1,0,49.34987859078928
15,21,13,3,1,0,45.10888938278215
15,21,13,3,1,0,49.489191028958324
10,21,13,3,1,0,44.61049899153486
8,21,13,3,1,0,39.14248870492685
17,21,13,3,1,0,51.052472916164014
14,21,13,3,1,0,47.471420626161624
13,21,13,3,1,0,49.13044734439909
11,21,13,3,1,0,45.86153171876012
17,5,14,3,0,0,26.382641499658067
21,5,14,3,0,0,32.166498028715004
15,5,14,3,0,0,18.608722089247987
10,5,14,3,0,0,19.04835169594195
14,5,14,3,0,0,22.75363813171188
7,8,15,3,0,0,21.95530640757012
18,8,15,3,0,0,32.39230638517132
12,8,15,3,0,0,24.26134060422372
8,8,15,3,0,0,24.691530589734256
22,8,15,3,0,0,38.34037996806547
17,8,15,3,0,0,27.879901293712607
15,8,15,3,0,0,29.748374864099763
9,8,15,3,0,0,23.92303021329848
16,10,16,3,0,0,34.58866289591695
12,10,16,3,0,0,30.312326950082856
9,10,16,3,0,0,29.632655806074702
17,10,16,3,0,0,35.111211836168934
11,10,16,3,0,0,26.560720589990886
15,10,16,3,0,0,34.431164436089716
12,10,16,3,0,0,31.116063647286346
