prep_time,queue_length,hour,day_of_week,is_peak,is_weekend,actual_wait
10,12,7,3,0,0,29.14043817530691
19,12,7,3,0,0,41.02058316340711
28,12,7,3,0,0,45.60227394561881
12,12,7,3,0,0,31.062781428933373
13,12,7,3,0,0,35.32145108193598
12,12,7,3,0,0,34.55781252340395
17,12,7,3,0,0,37.71420525901243
13,12,7,3,0,0,34.41578773453517
7,12,7,3,0,0,28.044820922085965
14,12,7,3,0,0,35.14244009035936
13,12,7,3,0,0,36.19232214694549
9,12,7,3,0,0,32.032552376912605
12,7,8,3,0,0,24.146053401127332
13,7,8,3,0,0,24.840860850309767
8,7,8,3,0,0,23.514147602517237
9,7,8,3,0,0,22.30152591179555
7,7,8,3,0,0,17.23087541135449
10,7,8,3,0,0,23.3445977975128
16,7,8,3,0,0,25.93801084483218
12,4,9,3,0,0,19.020753557882834
15,4,9,3,0,0,24.02621798380857
11,4,9,3,0,0,18.84557147550313
13,4,9,3,0,0,24.038468874425206
14,4,10,3,0,0,21.467992083848987
26,4,10,3,0,0,32.16738241331062
12,4,10,3,0,0,20.58202261028856
17,4,10,3,0,0,23.27866346685909
6,24,11,3,1,0,39.72165133975838
12,24,11,3,1,0,46.046562362343856
19,24,11,3,1,0,51.04047971859272
18,24,11,3,1,0,51.463336622727
13,24,11,3,1,0,43.29587780485572
18,24,11,3,1,0,52.156374007659494
15,24,11,3,1,0,47.88457657626393
18,24,11,3,1,0,48.96412205460873
12,24,11,3,1,0,44.74363058097302
15,24,11,3,1,0,51.77819922022008
10,24,11,3,1,0,41.43213747633481
13,24,11,3,1,0,47.664707346512344
11,24,11,3,1,0,45.05278688777172
19,24,11,3,1,0,50.464496782232324
20,24,11,3,1,0,55.74505225263071
21,24,11,3,1,0,49.423258552511115
11,24,11,3,1,0,46.16096568683995
8,24,11,3,1,0,40.8759977382142
11,24,11,3,1,0,43.59539617253633
14,24,11,3,1,0,48.80969660410007
17,24,11,3,1,0,49.71697953025064
14,24,11,3,1,0,47.2441267756197
18,24,11,3,1,0,52.14280958807404
20,24,11,3,1,0,54.92484122736703
17,19,12,3,1,0,51.58906577169354
19,19,12,3,1,0,50.785037961882956
11,19,12,3,1,0,45.22578884904554
14,19,12,3,1,0,49.35358693349798
17,19,12,3,1,0,51.19969454435528
12,19,12,3,1,0,43.88764060627788
16,19,12,3,1,0,46.46758441425049
16,19,12,3,1,0,49.089803302947324
11,19,12,3,1,0,43.57711695971715
11,19,12,3,1,0,44.3865108254849
18,19,12,3,1,0,48.19716281009271
8,19,12,3,1,0,41.39099608474262
15,19,12,3,1,0,46.25176820887187
12,19,12,3,1,0,43.31987217240382
10,19,12,3,1,0,43.62008784003622
12,19,12,3,1,0,43.38719789104524
16,19,12,3,1,0,50.31023971832918
6,19,12,3,1,0,39.76606016653973
15,19,12,3,1,0,47.90263630592281
13,21,13,3,1,0,46.29341234674534
18,21,13,3,1,0,51.15613988176995
14,21,13,3,1,0,47.941686517564875
17,21,13,3,1,0,52.45570424094852
15,21,13,3,1,0,47.23497093115759
16,21,13,3,1,0,49.91786829377125
21,21,13,3,1,0,53.81298894063587
15,21,13,3,1,0,48.44949069326943
21,21,13,3,1,0,52.77017425613073
14,21,13,3,1,0,51.423625210158875
21,21,13,3,1,0,56.02291852886198
12,21,13,3,1,0,47.47870796693687
15,21,13,3,1,0,44.639099407353115
15,21,13,3,1,0,45.142612564925095
15,21,13,3,1,0,46.61241770532171
10,21,13,3,1,0,40.23018317250214
8,21,13,3,1,0,40.20709487053302
17,21,13,3,1,0,49.13854167619609
14,21,13,3,1,0,49.89310989314574
13,21,13,3,1,0,44.92333529081222
11,21,13,3,1,0,48.40396150114131
17,5,14,3,0,0,25.378259455491833
21,5,14,3,0,0,32.32120884041426
15,5,14,3,0,0,19.415679036920896
10,5,14,3,0,0,16.487374238909865
14,5,14,3,0,0,23.044831241393453
7,8,15,3,0,0,17.558539906399776
18,8,15,3,0,0,33.267276443236874
12,8,15,3,0,0,24.105153696968827
8,8,15,3,0,0,18.286670590557367
22,8,15,3,0,0,36.66203038742203
17,8,15,3,0,0,29.87116342216006
15,8,15,3,0,0,30.605390111118457
9,8,15,3,0,0,20.6419268419697
16,10,16,3,0,0,36.97287793467588
12,10,16,3,0,0,29.7549903701269
9,10,16,3,0,0,25.27552489333637
17,10,16,3,0,0,35.290575350990856
11,10,16,3,0,0,26.619538930326133
15,10,16,3,0,0,31.673454512766263
12,10,16,3,0,0,30.045320349270686
25,10,16,3,0,0,42.931608657140984
20,10,16,3,0,0,37.88050216678067
22,10,16,3,0,0,45.12886997326729
14,21,17,3,1,0,47.28166889847926
12,21,17,3,1,0,43.747573657609664
14,21,17,3,1,0,48.94406577494078
23,21,17,3,1,0,58.30167945002772
13,21,17,3,1,0,44.353954325687646
9,21,17,3,1,0,40.65489640209307
9,21,17,3,1,0,43.447015931883364
11,21,17,3,1,0,44.99894290856325
6,21,17,3,1,0,42.32078853625062
9,21,17,3,1,0,40.7524461162033
10,21,17,3,1,0,39.33667681516118
12,21,17,3,1,0,42.73775576111358
8,21,17,3,1,0,40.72524202116808
16,21,17,3,1,0,48.47138676401485
21,21,17,3,1,0,55.383176824939966
10,21,17,3,1,0,43.88807267705479
25,21,17,3,1,0,57.55026782567739
7,21,17,3,1,0,42.73893082020171
13,21,17,3,1,0,45.41203213998984
5,21,17,3,1,0,40.08009108241166
9,21,17,3,1,0,41.77913583772815
10,21,18,3,1,0,43.12392136427429
11,21,18,3,1,0,41.543932074322406
23,21,18,3,1,0,51.50186611082252
20,21,18,3,1,0,52.49985628272395
17,21,18,3,1,0,52.717279869187
19,21,18,3,1,0,49.51967422770849
22,21,18,3,1,0,55.406239395086125
16,21,18,3,1,0,48.55318392662379
11,21,18,3,1,0,45.759574853071946
16,21,18,3,1,0,48.841051913897026
17,21,18,3,1,0,47.16877904826922
8,21,18,3,1,0,42.11426719703962
15,21,18,3,1,0,45.64626156161849
18,21,18,3,1,0,52.22817164789634
10,21,18,3,1,0,45.33914267990326
23,21,18,3,1,0,54.988788446797265
11,21,18,3,1,0,43.170006870326255
14,21,18,3,1,0,45.05067095119386
19,21,18,3,1,0,54.45727933386425
15,21,18,3,1,0,45.346763506300924
11,21,18,3,1,0,41.09131445509693
9,15,19,3,1,0,43.96483263338553
18,15,19,3,1,0,49.025075704316805
16,15,19,3,1,0,48.418137220254636
14,15,19,3,1,0,43.0555489610257
10,15,19,3,1,0,45.03398282564306
11,15,19,3,1,0,43.89602635116378
12,15,19,3,1,0,40.75735600044606
17,15,19,3,1,0,49.9385443261727
16,15,19,3,1,0,55.343440070206334
17,15,19,3,1,0,50.83671473317974
14,15,19,3,1,0,44.588214868106945
17,15,19,3,1,0,50.735481088304844
19,15,19,3,1,0,49.86095413893348
16,15,19,3,1,0,51.192328537743506
7,15,19,3,1,0,40.5117896005949
20,10,20,3,0,0,38.259478068793875
11,10,20,3,0,0,32.20804736925503
19,10,20,3,0,0,36.196223204614924
19,10,20,3,0,0,35.97065493393768
10,10,20,3,0,0,29.680148431497575
26,10,20,3,0,0,46.856472878685835
5,10,20,3,0,0,24.90193777536251
12,10,20,3,0,0,32.45213894960051
7,10,20,3,0,0,23.67887365681413
18,10,20,3,0,0,35.416728001716166
12,7,21,3,0,0,27.2608253422042
10,7,21,3,0,0,19.652453227348158
11,7,21,3,0,0,22.53726235334436
15,7,21,3,0,0,28.545794695828658
10,7,21,3,0,0,22.03545222471732
16,7,21,3,0,0,30.17765920958146
12,7,21,3,0,0,25.739006677854658
18,10,7,4,0,0,33.662788264926675
21,10,7,4,0,0,42.274405162753574
17,10,7,4,0,0,34.25499402643601
11,10,7,4,0,0,29.817872238539923
17,10,7,4,0,0,32.52397411830795
10,10,7,4,0,0,28.474768952320236
20,10,7,4,0,0,36.12148509894128
19,10,7,4,0,0,35.78676283476163
11,10,7,4,0,0,28.268773739736414
9,10,7,4,0,0,28.458249543933036
27,8,8,4,0,0,38.84118137440124
12,8,8,4,0,0,24.487340553318912
19,8,8,4,0,0,34.2637836398622
14,8,8,4,0,0,31.12939528594244
13,8,8,4,0,0,25.668321283811483
19,8,8,4,0,0,33.951479224628024
10,8,8,4,0,0,27.076412731449018
11,8,8,4,0,0,24.644981794637335
10,18,9,4,0,0,36.162115991946266
17,18,9,4,0,0,40.69598713153091
11,18,9,4,0,0,42.30650760605309
24,18,9,4,0,0,52.52595191838979
14,18,9,4,0,0,40.68889043273484
14,18,9,4,0,0,39.041048250836724
11,18,9,4,0,0,38.10014809161398
12,18,9,4,0,0,39.22948993698559
21,18,9,4,0,0,51.88479234520846
7,18,9,4,0,0,36.94925414243533
14,18,9,4,0,0,39.569012301326275
26,18,9,4,0,0,55.5917165588862
9,18,9,4,0,0,35.35952078908512
13,18,9,4,0,0,38.68465849755066
3,18,9,4,0,0,30.471774419155953
14,18,9,4,0,0,37.83970914686799
22,18,9,4,0,0,46.86551006804708
14,18,9,4,0,0,38.02431060987155
17,12,10,4,0,0,35.76382944277638
16,12,10,4,0,0,38.75899326616713
10,12,10,4,0,0,29.024743625643126
18,12,10,4,0,0,38.8789638246653
6,12,10,4,0,0,24.750279673356108
16,12,10,4,0,0,41.32136254225968
14,12,10,4,0,0,39.484247201392826
5,12,10,4,0,0,25.922633623692324
16,12,10,4,0,0,35.27873832957947
9,12,10,4,0,0,33.82861042907138
22,12,10,4,0,0,44.33650724043292
